respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.0500712690995224,0.2970747163999776
26708,0.0463550873378561,0.0464522968092376
26709,0.3673332869033455,0.5156933339854234
26710,0.5141206303313178,0.8814514462269497
26711,0.1500376634155515,0.4574322795630007
26712,0.4618199324137084,0.9252288391086728
26713,0.3447713850524422,0.6003256029673534
26714,0.1451267989341436,0.2255183547281206
26715,0.039450367952567,0.1491026711554183
26716,0.225319839119599,0.8946844082511691
26717,0.0118239771186126,0.3051969510603605
26718,0.2137840755838684,0.5486070743105276
26719,0.0682208786800471,0.9152424985741624
26720,0.060311043967671,0.2085187800319737
26721,0.2736330450555592,0.3405100017199053
26722,0.0722439551135007,0.0975976163063366
26723,0.697448320545527,0.8735971267839279
26724,0.1302110819925359,0.6460101387146885
26725,0.0267058469188366,0.0752698522769938
26726,0.0108350772806048,0.0312016797829096
26727,0.3463717217344395,0.8413300855812668
26728,0.1666940950034311,0.6012464789641633
26729,0.4292524769836705,0.9059224682154636
26730,0.0343269595577089,0.1925648171644633
26731,0.0208398009104519,0.3372163541307009
26732,0.0866205021376811,0.0750719494926947
26733,0.9198475996750992,0.9552016396180372
26734,0.900077140881516,0.3561338111792262
26735,0.1468347813269591,0.4900323704077531
26736,0.053418252422003,0.1598395039092007
26737,0.081644038049935,0.1011107967940472
26738,0.5713922143849187,0.8040732447914147
26739,0.1323284975126149,0.2728883563133856
26740,0.1441256517597961,0.1251932027761911
26741,0.2132469625739139,0.9052755090166476
26742,0.0972100443653289,0.4286210515380114
26743,0.0481131554275107,0.5625635625339538
26744,0.0527462626217937,0.6478272862055546
26745,0.1174637010505984,0.933888694535096
26746,0.1098398091344528,0.327174429702621
26747,0.0707677356317004,0.162475859935823
26748,0.0872593275715118,0.0378104389186716
26749,0.1168047615469241,0.7003963380288061
26750,0.6662612292974934,0.9323249023025048
26751,0.2851324482540032,0.7131401553302872
26752,0.022662676445524,0.0183764733618092
26753,0.224889449071749,0.6851972762846819
26754,0.1255814445486803,0.6000136737334567
26755,0.0961462230157253,0.3778189610036784
26756,0.0194271896951471,0.0319629685760867
26757,0.4216819503155007,0.532766582281747
26758,0.6937273285864443,0.8834184456261421
26759,0.0389222939524167,0.2256678345855725
26760,0.013772303451761,0.0285613450180596
26761,0.1609133601413349,0.6224830399664212
26762,0.142359453298491,0.8236288305640823
26763,0.8950547460103168,0.969390351594355
26764,0.920520267507948,0.964331696681831
26765,0.0316783849763285,0.6922986033032476
26766,0.1019467961095525,0.1714626889380108
26767,0.7750514452489495,0.7520932222369563
26768,0.01092580091662,0.4222970042037727
26769,0.1233590137389246,0.1598740854048423
26770,0.0919558105385673,0.5211792200941712
26771,0.0615812910109038,0.2032286779732252
26772,0.0495480839156309,0.431457185440026
26773,0.0143720687291048,0.4687455624933394
26774,0.0298148311176621,0.5553068624320848
26775,0.0706811740271167,0.499360577707422
26776,0.3464820174564314,0.320461106324686
26777,0.1028261449601505,0.9372798153866704
26778,0.1202123798325041,0.0847817512920093
26779,0.1211380052735618,0.5273170990693985
26780,0.1149875754505185,0.9659149559174828
26781,0.041649424349776,0.4933610493709722
26782,0.0415195926984707,0.2803203197072098
26783,0.0758607649809351,0.3370905399995455
26784,0.4127639852020108,0.8795080362816236
26785,0.3579521269223393,0.5863854369856439
26786,0.0809529169514995,0.3049668049677124
26787,0.0988499996023581,0.5043344537297435
26788,0.1020692065622712,0.91018309519018
26789,0.0116118740737582,0.2288277399435604
26790,0.0609856942756086,0.2927622967406133
26791,0.0833120831275814,0.1297066913371587
